go | 去
come | 来
left | 左边
right | 右边
straight | 直走
stop | 停
near | 近的
far | 远的
map | 地图
street | 街道
station | 车站
airport | 机场
bus | 公交车
train | 火车
subway | 地铁
taxi | 出租车
ticket | 票
hotel | 酒店
room | 房间
key | 钥匙
door | 门
parking | 停车
traffic | 交通
late | 晚的；迟到
early | 早的
weather | 天气
rain | 雨
sunny | 晴朗的
wind | 风
doctor | 医生
hospital | 医院
medicine | 药
sick | 生病的
pain | 疼痛
open | 打开；营业
close | 关上
wait | 等待
walk | 走路
drive | 开车
park | 公园
