have | 有
want | 想要
need | 需要
love | 爱；很喜欢
know | 知道
think | 认为；想
see | 看见
look | 看
watch | 观看
listen | 听
hear | 听到
say | 说
speak | 说（语言）
talk | 聊天
ask | 问
answer | 回答
read | 读
write | 写
learn | 学会；学习
study | 学习；读书
understand | 理解；懂
remember | 记得
forget | 忘记
find | 找到
get | 得到
give | 给
take | 拿
make | 做；制作
use | 使用
try | 尝试
start | 开始
finish | 完成
call | 打电话
send | 发送
live | 住；生活
sleep | 睡觉
wake | 醒来
feel | 感觉
meet | 见面
play | 玩
