# 每行一个单词：英文 | 中文
hello | 你好
yes | 是
no | 不
please | 请
thank | 感谢
sorry | 抱歉
good | 好的
bad | 坏的
big | 大的
small | 小的
hot | 热的
cold | 冷的
new | 新的
old | 旧的；老的
happy | 开心的
tired | 累的
hungry | 饿的
busy | 忙的
today | 今天
tomorrow | 明天
yesterday | 昨天
morning | 早上
night | 晚上
time | 时间
day | 天；白天
week | 星期；周
month | 月
year | 年
home | 家
work | 工作
friend | 朋友
family | 家人
name | 名字
phone | 手机；电话
money | 钱
water | 水
food | 食物
car | 汽车
road | 路
help | 帮助
