eat | 吃
drink | 喝
coffee | 咖啡
tea | 茶
milk | 牛奶
rice | 米饭
noodles | 面条
bread | 面包
egg | 鸡蛋
meat | 肉
chicken | 鸡肉
fish | 鱼
fruit | 水果
apple | 苹果
sugar | 糖
salt | 盐
spicy | 辣的
sweet | 甜的
menu | 菜单
order | 点餐；订单
bill | 账单
cash | 现金
card | 卡
price | 价格
cheap | 便宜的
expensive | 贵的
buy | 买
sell | 卖
pay | 付钱
shop | 商店
market | 市场
size | 尺码
color | 颜色
black | 黑色
white | 白色
red | 红色
bag | 袋子；包
gift | 礼物
discount | 折扣
receipt | 小票；收据
